X,Y,NO2,NOx,PM10,PM2.5
546437.3629,170639.974,17.22391805,75.0305006,25.94314907,6.394056941
526332.7064,159626.3259,29.84964254,104.3895585,17.48993088,12.79331304
551515.8752,168593.081,28.06917323,64.60897932,21.74112462,16.87942551
541842.0817,191301.7859,31.95651153,88.58793772,14.71359543,20.39926676
505650.6409,177206.579,43.59860535,85.34891759,22.60051436,18.59536511
558537.3411,162720.7749,46.49242459,72.7222782,23.20791689,17.0584313
545668.3821,169068.4568,27.9182857,83.0875029,16.23202761,18.83544813
547163.8583,197911.1576,30.52400143,53.13586516,22.4228291,19.30403056
507686.818,174438.087,53.00212275,67.53375737,21.41308306,8.305267608
527023.1563,174871.9665,60.46351683,42.82798946,19.23542946,13.00651042
522247.8815,161888.1321,55.0710023,63.96100152,19.29209802,6.89419668
555605.8993,168704.9437,20.24402657,103.4545524,24.68676794,14.15454688
538631.9072,191660.876,54.27288571,85.5103546,22.17001883,11.01566627
549365.6968,190378.9538,62.24426628,82.6982691,27.74585479,11.38163932
526604.8519,174597.446,19.64860855,35.02799712,15.78181098,10.90555998
513634.3233,195214.3518,52.99240668,83.00128971,20.87462883,2.01748428
533275.0872,172111.6513,42.70259938,73.43061476,18.31354273,4.364451022
503829.0354,193894.8311,36.07434748,88.4353938,22.36279732,15.42336699
549657.8703,156420.4498,41.27419417,109.5804145,23.61505405,9.304775911
537899.8639,170625.3631,45.31912684,64.7769967,14.90852631,16.09159061
545485.2644,193478.0815,53.89102063,67.10985452,25.55809681,11.35506365
521271.5581,195558.9303,53.27217435,97.95328331,34.97674723,5.655421095
558241.8815,189039.0819,21.91687217,59.91451031,23.02372116,6.397702121
553587.2673,185143.9618,32.21593297,77.18480202,16.79312001,9.313471075
546703.0098,191697.7209,41.12278625,25.08528779,20.24805735,8.28930776
511678.3225,186840.1185,58.86662484,67.29861018,20.05497003,11.6462435
528003.2602,166439.943,7.270101737,107.6255278,17.9962943,13.00840907
502628.2259,175980.6605,32.66997513,83.38591349,26.33633888,13.36046402
509257.3695,184731.7249,21.66531192,97.4854359,11.06109372,12.91276083
540982.9372,181451.1241,23.5674693,98.90787171,23.63484184,15.53612413
544685.7294,194829.3923,51.82882115,108.7314635,29.74287425,16.01095479
558050.5839,176323.0088,33.61737288,66.32080772,29.35600806,8.281790972
519549.5215,163009.432,11.9956243,98.55701796,28.1470386,4.541125517
522227.5824,164656.1917,38.0987314,131.1904697,18.03935715,9.285928414
528173.3487,193072.5451,64.43031386,74.34218649,30.74526962,12.33359075
511368.2815,155392.4429,18.31970564,42.00842128,24.19975312,9.898139938
507795.2903,194110.8663,46.39524851,60.12613714,30.53958453,14.53203094
528542.2956,157501.4639,58.81244574,86.70841932,28.48937073,6.671379694
513614.5609,172624.6311,39.40692784,33.45728331,23.88636945,18.32141891
540188.8397,191007.9302,63.13600384,55.94788392,20.53166332,15.13746725
526229.1151,173342.692,32.08227017,66.75542879,36.18464423,10.4591071
549960.6918,192005.6684,57.35128046,77.74645104,11.32074899,8.945613918
